file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\38.txt,8568,1337,2.9169783096484667,0.44876589379207177,0.5983545250560958,0.14958863126402394,0.14958863126402394,0.2991772625280479,0.6731488406881078,520.7180254300673,50,17,1.6768885564697082,5.106955871353777,543
./data\39.txt,4405,671,1.4903129657228018,1.0432190760059614,1.0432190760059614,0.14903129657228018,0.0,0.29806259314456035,0.29806259314456035,528.6140089418777,34,12,1.700447093889717,5.04769001490313,322
./data\4.txt,2808,430,0.23255813953488372,1.3953488372093024,0.9302325581395349,0.0,0.6976744186046512,0.46511627906976744,0.0,540.9302325581396,0,0,1.7697674418604652,5.367441860465116,233
./data\40.txt,11378,1844,2.4403470715835143,2.4403470715835143,0.5422993492407809,0.16268980477223427,0.5422993492407809,0.27114967462039047,0.10845986984815618,498.8069414316703,6,0,1.6312364425162689,4.9116052060737525,491
./data\41.txt,4193,626,0.1597444089456869,2.8753993610223643,0.3194888178913738,0.0,0.4792332268370607,0.0,0.0,545.5271565495208,10,10,1.755591054313099,5.214057507987221,279
./data\42.txt,2298,358,0.27932960893854747,1.1173184357541899,0.27932960893854747,0.0,0.0,0.0,0.0,524.0223463687151,2,1,1.5782122905027933,4.907821229050279,189
./data\43.txt,5505,839,0.9535160905840285,1.430274135876043,1.1918951132300357,0.11918951132300357,0.834326579261025,1.1918951132300357,0.0,527.1752085816448,33,13,1.6257449344457688,4.924910607866508,376
./data\45.txt,3351,467,1.070663811563169,0.6423982869379015,0.4282655246252677,0.21413276231263384,0.0,0.0,0.0,584.796573875803,4,2,1.8265524625267666,5.357601713062098,262
./data\46.txt,2405,370,1.6216216216216217,3.783783783783784,1.3513513513513513,1.0810810810810811,0.2702702702702703,1.0810810810810811,0.2702702702702703,533.5135135135135,0,0,1.7162162162162162,5.281081081081081,178
./data\47.txt,1024,153,0.0,1.3071895424836601,0.6535947712418301,0.0,0.0,0.0,0.0,553.59477124183,0,0,1.9281045751633987,5.509803921568627,100
./data\48.txt,4761,786,1.7811704834605597,1.9083969465648856,0.1272264631043257,0.0,1.0178117048346056,0.1272264631043257,0.0,485.75063613231555,2,0,1.549618320610687,4.768447837150127,325
./data\49.txt,1091,174,0.0,2.2988505747126435,0.5747126436781609,0.0,0.0,0.5747126436781609,0.0,506.8965517241379,0,0,1.6149425287356323,4.959770114942529,118
./data\5.txt,4908,728,2.0604395604395602,2.197802197802198,0.6868131868131868,0.13736263736263737,0.4120879120879121,0.4120879120879121,0.13736263736263737,548.9010989010989,8,3,1.7637362637362637,5.237637362637362,347
./data\50.txt,5127,719,1.9471488178025034,1.9471488178025034,0.0,0.27816411682892905,0.4172461752433936,0.0,0.13908205841446453,589.7079276773296,16,9,1.8887343532684284,5.80528511821975,344
./data\51.txt,882,152,5.263157894736842,0.0,1.3157894736842104,0.0,0.6578947368421052,0.6578947368421052,1.3157894736842104,466.44736842105266,2,1,1.519736842105263,4.559210526315789,95
./data\52.txt,2280,384,3.3854166666666665,1.5625,0.5208333333333333,0.0,1.0416666666666665,0.5208333333333333,0.0,478.6458333333333,1,1,1.5885416666666667,4.708333333333333,207
./data\53.txt,11234,1643,2.3128423615337796,1.2172854534388313,1.2172854534388313,0.24345709068776628,0.30432136335970783,0.30432136335970783,0.18259281801582472,562.8119293974437,8,2,1.8034083992696288,5.382836275106513,672
./data\54.txt,10159,1680,1.0714285714285714,1.3095238095238095,1.5476190476190477,0.05952380952380953,0.8333333333333334,0.8928571428571428,0.2976190476190476,488.5714285714286,43,14,1.5714285714285714,4.77202380952381,628
./data\55.txt,8773,1349,1.4084507042253522,1.2601927353595257,1.927353595255745,0.2965159377316531,1.1119347664936992,1.1860637509266123,0.0,518.013343217198,81,22,1.5967383246849518,4.8917716827279465,603
